ID,Discoverer,comets
1,Ambrus A,1
2,Ball B,1
3,Banach E,9
4,Battams K,20
5,Berrett P,27
6,Bezugly V,5
7,Biesecker D,53
8,Biesiada M,9
9,Boonplod W,616
10,Boschat M,60
11,Cane L,2
12,Cao Z,3
13,Cernis K,19
14,Chen D,6
15,Chen T,9
16,Collison P,1
17,Cyr C St,3
18,Danaher J,9
19,Deshmukh S,8
20,Evans D,20
21,Farmer S Jr,12
22,Gallina G,2
23,Gao X,4
24,Godunov A,8
25,Gorelli R,2
26,Gregory S,2
27,Gu S,2
28,Gu W,3
29,Hammer D,5
30,Hanson D,2
31,Harincar T,1
32,Hoenig S,42
33,Hoffman T,114
34,Hui M T,10
35,Isaev E,2
36,Jin Z,6
37,Johnson D,1
38,Kaluzny M,7
39,Kanbi K El,3
40,Kida K,27
41,Kotobuki,1
42,Kracht R,243
43,Kubczak A,25
44,Kusiak M,157
45,Leprette X,98
46,Lewis D,10
47,Liang C,3
48,Lin C,1
49,Liu L,2
50,Liwo S,104
51,Lovejoy T,11
52,Luethen H,1
53,Matson R,101
54,Mattiazzo M,1
55,Maysonet P,9
56,Mazzucato M,7
57,McCarty B,9
58,Meyer M,39
59,Mimeev A,4
60,Mulye S,11
61,Nakano A,1
62,Nakonechny K,4
63,Oates M,142
64,Otterstedt H,4
65,Pappa G,2
66,Prestgard T,77
67,Renai S,2
68,Reszelewski R,4
69,Ruan J,69
70,Sachs J,52
71,Scarmato T,23
72,Schenk K,10
73,Schmalz S,94
74,Shanklin J,5
75,Sharma P,2
76,Shkreby P,5
77,Shurpakov S,24
78,Stezelberger S,12
79,Su H,197
80,Sufa A,1
81,Sun G,9
82,Sun P,107
83,Tan H,25
84,Tsai Y S,2
85,Uchina M,350
86,Vourlidas A,5
87,Wang B,1
88,Watson A,4
89,Xu Z,291
90,Yang Z,1
91,Ye Q,7
92,Yuan S,11
93,Zhang J,1
94,Zheng Q,2
95,Zhou B,363
96,Zhou X M,62
97,Zu X,11
98,Zhu J,1
